Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
1	271	478	0	0	1	2	1.000000	1.000000	17.590317	1
0	183	479	0	0	1	3	1.000000	1.000000	17.609694	29
0	414	481	0	0	1	2	1.000000	1.000000	17.634535	3
0	79	483	0	0	1	3	1.000000	1.000000	17.680960	1
1	222	485	1	0	1	2	1.024029	1.000000	17.688194	1
0	84	491	0	0	1	2	1.000000	1.000000	17.777134	1
0	23	489	0	0	1	2	1.000000	1.000000	17.709112	1
1	49	490	0	0	0	2	1.000000	1.000000	17.738773	1
0	191	492	0	0	1	4	1.000000	1.000000	17.779287	1
1	22	493	0	0	0	2	1.000000	1.000000	17.788418	1
0	254	494	0	0	1	5	1.000000	1.000000	17.789207	1
0	23	495	0	0	1	2	1.000000	1.000000	17.794390	1
1	492	499	0	0	1	5	1.000000	1.000000	17.842367	1
5	22	500	0	0	1	2	1.000000	1.000000	17.848942	12
0	325	501	0	0	1	5	1.000000	1.000000	17.867336	1
2	441	502	1	0	0	2	1.061457	1.000000	17.880552	2
0	501	503	0	0	1	6	1.000000	1.000000	17.898888	1
0	0	511	0	0	1	1	1.000000	1.000000	18.030792	1
0	503	509	0	0	1	7	1.000000	1.000000	17.968428	1
1	22	507	0	0	1	2	1.000000	1.000000	17.937347	1
0	84	513	0	0	1	2	1.000000	1.000000	18.035250	1
0	79	517	0	0	1	3	1.000000	1.000000	18.065369	1
0	449	516	0	0	1	3	1.000000	1.000000	18.056051	1
0	84	520	1	0	1	1	1.120702	1.000000	18.079622	1
0	227	526	1	0	1	2	1.003330	1.000000	18.122362	1
1	398	524	0	0	1	6	1.000000	1.000000	18.113958	1
0	275	528	0	0	1	3	1.000000	1.000000	18.141830	1
0	513	531	1	0	1	2	1.049599	1.000000	18.160501	1
0	115	532	0	0	1	4	1.000000	1.000000	18.161127	1
1	23	536	0	0	1	2	1.000000	1.000000	18.190804	1
0	235	537	0	0	1	3	1.000000	1.000000	18.217642	1
0	84	538	0	0	1	2	1.000000	1.000000	18.255590	72
0	388	539	0	0	1	2	1.000000	1.000000	18.265587	1
0	314	540	0	0	1	4	1.000000	1.000000	18.272923	1
0	477	541	0	0	1	2	1.000000	1.000000	18.293264	1
0	143	542	0	0	1	5	1.000000	1.000000	18.308208	1
0	475	543	0	0	1	5	1.000000	1.000000	18.331865	1
0	265	546	1	0	1	3	1.030959	1.000000	18.372009	1
0	58	545	0	0	1	4	1.000000	1.000000	18.352900	1
0	318	547	0	0	1	5	1.000000	1.000000	18.374935	1
0	385	548	0	0	1	6	1.000000	1.000000	18.390961	1
0	191	551	0	0	1	4	1.000000	1.000000	18.432806	1
0	267	552	2	0	1	3	1.430552	1.000000	18.437010	1
25	267	553	1	0	1	4	1.268862	1.000000	18.471722	51
0	548	555	0	0	1	7	1.000000	1.000000	18.494694	1
3	23	556	0	0	1	2	1.000000	1.000000	18.499784	6
0	281	557	0	0	1	2	1.000000	1.000000	18.509100	2
1	123	558	0	0	0	5	1.000000	1.000000	18.511625	1
0	358	559	1	0	1	2	1.137217	1.000000	18.542042	1
0	22	561	0	0	1	2	1.000000	1.000000	18.596870	36
0	241	562	0	0	1	4	1.000000	1.000000	18.604080	1
2	241	563	0	0	1	4	1.000000	1.000000	18.604080	3
0	0	564	0	0	1	1	1.000000	1.000000	18.605740	1
0	184	565	0	0	1	5	1.000000	1.000000	18.610744	1
0	289	568	0	0	1	4	1.000000	1.000000	18.628359	1
0	254	567	1	0	1	4	1.003059	1.000000	18.624071	3
0	36	569	0	0	1	3	1.000000	1.000000	18.631227	1
0	517	572	0	0	1	4	1.000000	1.000000	18.674011	1
0	226	574	0	0	1	2	1.000000	1.000000	18.682806	1
1	552	575	2	0	1	4	1.430552	1.000000	18.696842	1
0	0	577	0	0	1	1	1.000000	1.000000	18.719063	1
0	2	585	0	0	1	2	1.000000	1.000000	18.796873	1
0	281	579	0	0	1	2	1.000000	1.000000	18.744343	1
0	13	581	0	0	1	2	1.000000	1.000000	18.756826	1
0	263	582	0	0	1	4	1.000000	1.000000	18.760117	1
0	281	584	0	0	1	2	1.000000	1.000000	18.772404	37
0	211	593	0	0	1	4	1.000000	1.000000	18.839989	1
0	90	588	0	0	1	4	1.000000	1.000000	18.820330	1
0	23	597	0	0	1	2	1.000000	1.000000	18.868607	1
0	402	598	0	0	1	4	1.000000	1.000000	18.873808	1
0	16	599	0	0	1	2	1.000000	1.000000	18.886211	1
0	270	600	0	0	1	3	1.000000	1.000000	18.893339	1
0	335	604	2	0	1	1	1.224324	1.000000	18.900696	1
0	16	602	0	0	1	2	1.000000	1.000000	18.894062	1
0	331	603	0	0	1	2	1.000000	1.000000	18.897575	1
0	462	605	0	0	1	6	1.000000	1.000000	18.954329	1
1	191	608	0	0	1	4	1.000000	1.000000	19.065111	1
1	0	610	0	0	1	1	1.000000	1.000000	19.078087	1
0	96	611	0	0	1	5	1.000000	1.000000	19.080441	1
0	64	612	0	0	1	4	1.000000	1.000000	19.086285	1
0	99	614	0	0	1	5	1.000000	1.000000	19.128666	1
3	538	616	1	0	1	2	1.383612	1.000000	19.140926	70
0	581	617	1	0	1	2	1.146173	1.000000	19.163071	1
0	516	619	0	0	1	4	1.000000	1.000000	19.173695	1
1	139	624	0	0	0	2	1.000000	1.000000	19.207457	1
0	79	622	0	0	1	3	1.000000	1.000000	19.194103	1
0	227	626	0	0	1	3	1.000000	1.000000	19.227804	1
0	281	625	1	0	1	1	1.025823	1.000000	19.217443	1
0	582	627	0	0	1	5	1.000000	1.000000	19.241034	1
0	0	631	0	0	1	1	1.000000	1.000000	19.284536	1
1	16	633	0	0	1	2	1.000000	1.000000	19.301073	1
0	34	634	0	0	1	4	1.000000	1.000000	19.335217	1
0	79	635	0	0	1	3	1.000000	1.000000	19.357662	1
0	267	637	1	0	1	4	1.268862	1.000000	19.382950	1
0	281	639	0	0	1	2	1.000000	1.000000	19.393476	1
1	122	640	1	0	1	3	1.244679	1.000000	19.417986	1
1	263	643	0	0	1	4	1.000000	1.000000	19.473101	1
