NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	DriverMutations	MigrationMutations	PassengerMutations
357	1	-1	-1	20.578394	463	337	1	1.007015	1.000000	1	0	4
357	1	-1	-1	20.578394	486	153	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	511	4	2	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	0	0	4	1.000000	1.000000	0	0	0
849	1	-1	-1	30.591749	8	0	2	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	2	0	0	1.044266	1.000000	1	0	0
849	1	-1	-1	30.591749	4	0	24	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	6	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	9	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	10	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	13	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	14	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	15	0	6	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	16	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	17	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	21	17	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	20	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	22	4	0	1.000352	1.000000	1	0	1
849	1	-1	-1	30.591749	24	14	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	25	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	26	20	8	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	27	0	0	1.092266	1.000000	1	0	0
849	1	-1	-1	30.591749	31	0	1	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	30	6	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	33	4	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	34	4	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	35	4	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	37	8	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	39	4	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	41	22	0	1.000352	1.000000	1	0	2
849	1	-1	-1	30.591749	42	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	43	37	0	1.000000	1.000000	0	0	3
849	1	-1	-1	30.591749	44	10	0	1.168744	1.000000	1	0	1
849	1	-1	-1	30.591749	45	26	0	1.000000	1.000000	0	0	3
849	1	-1	-1	30.591749	50	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	51	16	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	52	0	0	1.050003	1.000000	1	0	0
849	1	-1	-1	30.591749	53	39	0	1.000000	1.000000	0	0	3
849	1	-1	-1	30.591749	54	42	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	57	0	0	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	56	0	2	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	58	4	0	1.253725	1.000000	1	0	1
849	1	-1	-1	30.591749	62	0	1	1.000000	1.000000	0	0	1
849	1	-1	-1	30.591749	64	4	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	66	8	3	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	67	42	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	68	52	0	1.050003	1.000000	1	0	1
849	1	-1	-1	30.591749	69	51	0	1.000000	1.000000	0	0	3
849	1	-1	-1	30.591749	70	68	0	1.054185	1.000000	2	0	1
849	1	-1	-1	30.591749	72	4	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	73	42	3	1.024968	1.000000	1	0	1
849	1	-1	-1	30.591749	74	22	0	1.000352	1.000000	1	0	2
849	1	-1	-1	30.591749	79	16	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	78	4	0	1.143454	1.000000	1	0	2
849	1	-1	-1	30.591749	80	43	0	1.000000	1.000000	0	0	4
849	1	-1	-1	30.591749	81	56	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	84	8	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	83	8	0	1.000000	1.000000	0	0	2
849	1	-1	-1	30.591749	87	0	0	1.136627	1.000000	1	0	0
