Generation	Population	RecentBirths	RecentDeaths	RecentMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
146.393219	21915	133560	131621	133560	2.489071	0.000000	1.954183	0.000000	1.000000	1.000000	0.000000	0.000000	21874	2065	1	21825	21825	21915	0	0	0	0	0	0	0	0	0	0
147.393234	22249	155727	153454	155727	2.508248	0.000000	1.973152	0.000000	1.000000	1.000000	0.000000	0.000000	22185	2092	1	22141	22141	22249	0	0	0	0	0	0	0	0	0	0
148.393295	22534	177960	175402	177960	2.534748	0.000000	1.985801	0.000000	1.000000	1.000000	0.000000	0.000000	22482	2179	1	22438	22438	22534	0	0	0	0	0	0	0	0	0	0
149.393295	22864	200559	197671	200559	2.562413	0.000087	2.007029	0.000087	1.000011	1.000000	0.000001	0.000000	22798	2185	2	22743	22743	22862	2	0	0	0	0	0	0	0	0	0
150.393356	23204	8869	8735	8869	2.580590	0.000086	2.028896	0.000086	1.000011	1.000000	0.000001	0.000000	23141	2236	2	23079	23079	23202	2	0	0	0	0	0	0	0	0	0
151.393402	23539	32387	31918	32387	2.599133	0.000042	2.042804	0.000042	1.000005	1.000000	0.000001	0.000000	23468	2266	2	23418	23418	23538	1	0	0	0	0	0	0	0	0	0
152.393417	23827	56089	55332	56089	2.625341	0.000084	2.068358	0.000084	1.000011	1.000000	0.000001	0.000000	23775	2293	3	23727	23727	23825	2	0	0	0	0	0	0	0	0	0
153.393433	24185	80036	78921	80036	2.642837	0.000207	2.100617	0.000207	1.000023	1.000000	0.000003	0.000000	24118	2329	5	24069	24069	24180	5	0	0	0	0	0	0	0	0	0
154.393448	24520	104639	103189	104639	2.665457	0.000245	2.143265	0.000245	1.000032	1.000000	0.000004	0.000000	24462	2381	4	24405	24405	24514	6	0	0	0	0	0	0	0	0	0
155.393494	24866	129487	127691	129487	2.691185	0.000282	2.168575	0.000281	1.000031	1.000000	0.000004	0.000000	24800	2394	4	24748	24748	24859	7	0	0	0	0	0	0	0	0	0
156.393494	25240	154330	152160	154330	2.711807	0.000238	2.178832	0.000238	1.000022	1.000000	0.000003	0.000000	25171	2473	5	25086	25086	25234	6	0	0	0	0	0	0	0	0	0
157.393494	25553	179791	177308	179791	2.732673	0.000313	2.211108	0.000313	1.000027	1.000000	0.000003	0.000000	25503	2483	4	25450	25450	25545	8	0	0	0	0	0	0	0	0	0
158.393494	25948	205405	202527	205405	2.758787	0.000231	2.237523	0.000231	1.000021	1.000000	0.000002	0.000000	25871	2510	4	25812	25812	25942	6	0	0	0	0	0	0	0	0	0
159.393509	26271	231466	228265	231466	2.782726	0.000190	2.244833	0.000190	1.000021	1.000000	0.000002	0.000000	26210	2569	3	26159	26159	26266	5	0	0	0	0	0	0	0	0	0
160.393570	26650	10189	10057	10189	2.803640	0.000188	2.260612	0.000188	1.000023	1.000000	0.000003	0.000000	26576	2652	2	26506	26506	26645	5	0	0	0	0	0	0	0	0	0
